seed,early_solver,phase,phase_solver,phase_epoch,common_epoch,learning_rate,objective,data_mse,regularization,gradient_norm,gradient_rms,gradient_max_abs,n_parameters
0,forward_euler,early_solver_adam,forward_euler,1300,0,0.003,0.33181388393741745,0.32936537342924027,0.0024485105081772087,0.48276395143029227,0.007211056647555215,0.13382307226115728,4482
0,forward_euler,early_solver_adam,forward_euler,1400,0,0.003,0.27366713257525943,0.2711749077998704,0.0024922247753889916,0.41604417627534995,0.006214461776026356,0.10832155562492848,4482
0,forward_euler,early_solver_adam,forward_euler,1500,0,0.003,0.23177014714239985,0.22924723980607692,0.0025229073363229435,0.3714604565551838,0.005548513692064531,0.11383371950340937,4482
0,forward_euler,early_solver_adam,forward_euler,1600,0,0.003,0.19736949779871052,0.19482391466941407,0.002545583129296466,0.33695718945026565,0.0050331375690500545,0.12054148402987316,4482
0,forward_euler,early_solver_adam,forward_euler,1700,0,0.003,0.16770198063647349,0.165138203554601,0.0025637770818725016,0.30455309936144787,0.004549116903151832,0.12120046863114987,4482
0,forward_euler,early_solver_adam,forward_euler,1800,0,0.003,0.14207842878621596,0.1394998124265225,0.0025786163596934358,0.27182784989922504,0.004060299072039313,0.11725247019984011,4482
0,forward_euler,early_solver_adam,forward_euler,1900,0,0.003,0.1204123170218104,0.11782176429408762,0.0025905527277227764,0.23770255924310887,0.003550568792248378,0.10865601872138891,4482
0,forward_euler,early_solver_adam,forward_euler,2000,0,0.003,0.10281843201859657,0.10021816341837617,0.0026002686002203975,0.20201255460358838,0.003017466342397683,0.09554442469270893,4482
0,forward_euler,early_solver_adam,forward_euler,2100,0,0.003,0.0893173460552653,0.08670855273742144,0.0026087933178438587,0.1660288771394919,0.002479977294567601,0.07911997669623598,4482
0,forward_euler,early_solver_adam,forward_euler,2200,0,0.003,0.07958965946313087,0.07697262415646974,0.002617035306661124,0.13229685410196274,0.0019761212625676993,0.061581915809619775,4482
0,forward_euler,early_solver_adam,forward_euler,2300,0,0.003,0.0729466719400528,0.07032142266772869,0.0026252492723241217,0.10340248280287295,0.0015445253498738837,0.045153219647214825,4482
0,forward_euler,early_solver_adam,forward_euler,2400,0,0.003,0.06852567987264414,0.06589260037386227,0.0026330794987818673,0.08082227990427963,0.0012072443210550657,0.031226332898273455,4482
0,forward_euler,early_solver_adam,forward_euler,2500,0,0.003,0.06552517370541176,0.0628851249259976,0.002640048779414168,0.06468367295929323,0.0009661815645088596,0.020275722046330834,4482
0,forward_euler,early_solver_adam,forward_euler,2600,0,0.003,0.06333906581172008,0.06069315214564441,0.0026459136660756705,0.05405486625624225,0.0008074188254838391,0.015227566240413036,4482
0,forward_euler,early_solver_adam,forward_euler,2700,0,0.003,0.06157645664443653,0.05892575242321131,0.0026507042212252155,0.047413884863236805,0.0007082223281512557,0.015735249426230884,4482
0,forward_euler,early_solver_adam,forward_euler,2800,0,0.003,0.06001602255930929,0.057361410003652163,0.002654612555657122,0.043227663249644055,0.000645692636144631,0.015459420543673639,4482
0,forward_euler,early_solver_adam,forward_euler,2900,0,0.003,0.05854503271491948,0.055887153360146144,0.002657879354773338,0.04037067566674354,0.0006030177445322396,0.014679853101419263,4482
0,forward_euler,early_solver_adam,forward_euler,3000,0,0.003,0.05711018186158408,0.054449456218509856,0.002660725643074223,0.03819259170844936,0.0005704836525399578,0.013578584927393202,4482
0,forward_euler,common_rk4_adam,rk4,100,100,0.001,0.057679844480568544,0.055125594592254634,0.0025542498883139087,0.7572861754387968,0.011311601649876102,0.16866222510540688,4482
0,forward_euler,common_rk4_adam,rk4,200,200,0.001,0.04581071983307847,0.04323443478063484,0.002576285052443631,0.21954054919496263,0.0032792824153293253,0.040995430771247995,4482
0,forward_euler,common_rk4_adam,rk4,300,300,0.001,0.03657995499760594,0.03399224121728729,0.0025877137803186497,0.1549446247381766,0.0023144115522936034,0.028479381923199105,4482
