experiment_source,evaluation_protocol,experiment_kind,training_method,prediction_method,ratio,predict_ratio,seed,h_model,h_predict,noise_level,best_loss,train_mse,validation_mse,extrapolate_mse,residual_mse,residual_rel_error,model_vf_mse,model_vf_rel_error,instability_rate,final_mse,final_l2_error
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,heun,diffrax_tsit5,16,adaptive,2,0.003125,adaptive,0,0.004610889582498102,0.0019862187281247316,0.0012501171615455402,0.0251234143102502,0.0070902086170785755,0.07428215769650705,0.007090208617078576,0.003992280367775481,0.0,0.03204973948375901,0.7160976412055441
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,heun,diffrax_tsit5,16,adaptive,3,0.003125,adaptive,0,0.0027217323585703923,9.390276968645918e-05,4.252024584949929e-05,0.001966947742744907,0.0002961250394762276,0.015180726965243885,0.0002961250394762268,0.0008158852692394633,0.0,0.0017658518117347848,0.1680881583805253
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,heun,diffrax_tsit5,16,adaptive,4,0.003125,adaptive,0,0.0042915039785222115,0.0016668622543861446,0.0009656146660697469,0.02131575554723883,0.012092187459562087,0.09700797502511685,0.012092187459562089,0.005213675076493359,0.0,0.02233076690601276,0.5977392997755829
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,1,adaptive,0,0.05,adaptive,0,0.003123672379175768,0.0005127974923810578,0.00027719918296281927,0.00579765615956113,0.002589240878291444,0.04488913439806956,0.002589240878291442,0.0024125579485189752,0.0,0.004630799177418995,0.272199902348814
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,1,adaptive,1,0.05,adaptive,0,0.0028332959529364632,0.0002073131931972655,0.00010874584907795596,0.003173143226869559,0.0001488897570028529,0.010764340178339432,0.0001488897570028526,0.0005785274054857193,0.0,0.0013216499921117398,0.14541801770684348
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,1,adaptive,2,0.05,adaptive,0,0.00405513495469845,0.0014267010653175483,0.0008651117658003549,0.01430673942984126,0.010923670787378102,0.09220177991871732,0.010923670787378102,0.004955367039112806,0.0,0.016892905736780053,0.5198908460325887
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,1,adaptive,3,0.05,adaptive,0,0.003153679019202449,0.0005265870802396408,0.00028682523424696947,0.005274804788938759,0.0027422730878473114,0.04619663626786428,0.002742273087847312,0.0024828293866069498,0.0,0.004496670275285811,0.2682288657183879
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,1,adaptive,4,0.05,adaptive,0,0.003702630780379981,0.0010758354332204851,0.0005616658403579603,0.014556419467259694,0.010249913465816923,0.08931308749919031,0.010249913465816924,0.004800114817144006,0.0,0.014396483870420244,0.47994139426259524
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,2,adaptive,0,0.025,adaptive,0,0.003692636055929879,0.0010680709593190627,0.0006055647879511473,0.011554631389685939,0.0060438905318359205,0.06858249781432507,0.006043890531835916,0.0036859532367893174,0.0,0.012111546143617388,0.4402098798276547
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,2,adaptive,1,0.025,adaptive,0,0.0027637509767333896,0.00013937354010606996,7.884284400078993e-05,0.004013849729392662,0.0003525954857361762,0.01656507388659354,0.00035259548573617636,0.0008902867299357863,0.0,0.002977977747480531,0.21828340284980097
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,2,adaptive,2,0.025,adaptive,0,0.004547994792979821,0.001926932641267694,0.0012704986192742182,0.024261917839133205,0.007981469924551687,0.07881274322767644,0.007981469924551683,0.004235775821212822,0.0,0.03005738813310331,0.6934826675048577
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,2,adaptive,3,0.025,adaptive,0,0.002720857775514411,9.330961251418805e-05,4.0837266653951634e-05,0.0019046409127619303,0.0003042835424224929,0.015388427234241013,0.00030428354242249144,0.0008270480804987523,0.0,0.001700239722593856,0.16493585286862797
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,2,adaptive,4,0.025,adaptive,0,0.00455828103296353,0.0019261586693675324,0.001121673691431359,0.025321200219162295,0.010499347116445257,0.0903932810541149,0.010499347116445257,0.00485816961329495,0.0,0.028409603140205332,0.6742059405280298
