group,x_metric,y_metric,n,pearson,log_log_pearson,spearman
heun_ratio1,parameter_rel_error,extrapolate_mse,12,0.06547061649270415,0.3854342299003246,0.6083916083916086
heun_ratio1,model_vf_rel_error,extrapolate_mse,12,-0.5110450853775196,-0.3540664350903214,-0.22377622377622378
heun_ratio1,residual_mse,extrapolate_mse,12,-0.43713080982259916,-0.354066435090322,-0.22377622377622378
heun_ratio1,residual_rel_error,extrapolate_mse,12,-0.4446890932325263,-0.571293359489731,-0.6573426573426573
heun_ratio2,best_loss,extrapolate_mse,12,0.40415575354688543,0.5996458396606,0.6293706293706295
heun_ratio2,validation_mse,extrapolate_mse,12,0.47980777470568164,0.6899111734922213,0.6083916083916086
heun_ratio2,parameter_rel_error,model_vf_rel_error,12,0.035104371017686535,0.11983176512293503,-0.2027972027972028
heun_ratio2,parameter_rel_error,extrapolate_mse,12,0.32261646961986606,0.4433666100592253,0.37762237762237766
heun_ratio2,model_vf_rel_error,extrapolate_mse,12,-0.49782493439284414,-0.5117637932238723,-0.4265734265734266
heun_ratio2,residual_mse,extrapolate_mse,12,-0.45467852795504127,-0.5117637932238736,-0.4265734265734266
heun_ratio2,residual_rel_error,extrapolate_mse,12,-0.5734677548937972,-0.5380838138697512,-0.43356643356643365
heun_ratio4,best_loss,extrapolate_mse,12,0.33272112680256716,0.5705733139956213,0.4825174825174825
heun_ratio4,validation_mse,extrapolate_mse,12,0.33548990457593114,0.5830311147186282,0.5034965034965035
heun_ratio4,parameter_rel_error,model_vf_rel_error,12,0.25876508812824905,0.3010014500885407,0.006993006993006993
heun_ratio4,parameter_rel_error,extrapolate_mse,12,0.5059026274517389,0.5538009411246027,0.5244755244755246
heun_ratio4,model_vf_rel_error,extrapolate_mse,12,-0.3623895090290614,-0.36436085824296083,-0.3846153846153847
heun_ratio4,residual_mse,extrapolate_mse,12,-0.30997319374115545,-0.36436085824295994,-0.3846153846153847
heun_ratio4,residual_rel_error,extrapolate_mse,12,-0.6103359533532207,-0.5691252556215327,-0.49650349650349657
heun_ratio8,best_loss,extrapolate_mse,12,0.42319660238976353,0.6063186935991014,0.6223776223776225
heun_ratio8,validation_mse,extrapolate_mse,12,0.42591109906276525,0.6128465329352146,0.6223776223776225
heun_ratio8,parameter_rel_error,model_vf_rel_error,12,0.3671878913024752,0.3952481041074673,0.08391608391608392
heun_ratio8,parameter_rel_error,extrapolate_mse,12,0.4906972257963171,0.5383711720375952,0.3916083916083916
heun_ratio8,model_vf_rel_error,extrapolate_mse,12,-0.15943505627379626,-0.2009523273257587,-0.18181818181818185
heun_ratio8,residual_mse,extrapolate_mse,12,-0.08051331273249468,-0.2009523273257604,-0.18181818181818185
heun_ratio8,residual_rel_error,extrapolate_mse,12,-0.5473886752120813,-0.4859592354318833,-0.41958041958041964
heun_ratio16,best_loss,extrapolate_mse,12,0.3779889891903782,0.5983425751986218,0.4825174825174825
heun_ratio16,validation_mse,extrapolate_mse,12,0.3782016588132485,0.5992639405259064,0.4825174825174825
heun_ratio16,parameter_rel_error,model_vf_rel_error,12,0.32090049818524097,0.3454453997243841,0.09090909090909093
heun_ratio16,parameter_rel_error,extrapolate_mse,12,0.5088565540601676,0.5531437518941232,0.46153846153846156
heun_ratio16,model_vf_rel_error,extrapolate_mse,12,-0.20406618149110375,-0.25218271311506785,-0.2517482517482518
heun_ratio16,residual_mse,extrapolate_mse,12,-0.12163899597063545,-0.25218271311506757,-0.2517482517482518
heun_ratio16,residual_rel_error,extrapolate_mse,12,-0.5561845475927999,-0.5037650525124443,-0.4755244755244756
rk4,best_loss,extrapolate_mse,60,0.3045699818881693,0.4711464818750336,0.516421228118922
rk4,validation_mse,extrapolate_mse,60,0.30456427781470347,0.4711477652724643,0.516421228118922
rk4,parameter_rel_error,model_vf_rel_error,60,0.11683071366337039,0.20472199789005588,-0.22639622117254796
rk4,parameter_rel_error,extrapolate_mse,60,0.44480521905877013,0.49998617906475834,0.5499305362600723
rk4,model_vf_rel_error,extrapolate_mse,60,-0.5312415473676901,-0.516327520733723,-0.514531814392887
rk4,residual_mse,extrapolate_mse,60,-0.5235383782145011,-0.5163275207337222,-0.514531814392887
rk4,residual_rel_error,extrapolate_mse,60,-0.6867087698667288,-0.6342904276680098,-0.5737149208113366
rk4_ratio1,best_loss,extrapolate_mse,12,0.24426254220333057,0.437244398338148,0.5384615384615385
rk4_ratio1,validation_mse,extrapolate_mse,12,0.24421652362411161,0.43721502743156926,0.5384615384615385
rk4_ratio1,parameter_rel_error,model_vf_rel_error,12,0.24940276462164304,0.308826857326477,-0.1398601398601399
rk4_ratio1,parameter_rel_error,extrapolate_mse,12,0.3046415189649148,0.4058034527740949,0.4755244755244756
rk4_ratio1,model_vf_rel_error,extrapolate_mse,12,-0.5223460453484461,-0.5138917168404993,-0.5174825174825175
rk4_ratio1,residual_mse,extrapolate_mse,12,-0.4591086258142185,-0.5138917168404974,-0.5174825174825175
rk4_ratio1,residual_rel_error,extrapolate_mse,12,-0.601020258022021,-0.5679027902660638,-0.5594405594405596
rk4_ratio2,best_loss,extrapolate_mse,12,0.44417609240842776,0.5911647517236255,0.6783216783216784
rk4_ratio2,validation_mse,extrapolate_mse,12,0.4441762135079854,0.5911684930571135,0.6783216783216784
rk4_ratio2,parameter_rel_error,model_vf_rel_error,12,0.0661458091767001,0.1637864515678022,-0.2517482517482518
