training_solver,ratio,h,search_stage,alpha,loss
forward_euler,1,0.05,global_grid,0.018500000000000003,395.1378589203084
forward_euler,1,0.05,global_grid,0.018600000000000002,398.2663035105743
forward_euler,1,0.05,global_grid,0.0187,401.38373359251915
forward_euler,1,0.05,global_grid,0.0188,404.49012080557634
forward_euler,1,0.05,global_grid,0.0189,407.58543959157174
forward_euler,1,0.05,global_grid,0.019,410.6696671014431
forward_euler,1,0.05,global_grid,0.019100000000000002,413.7427831046756
forward_euler,1,0.05,global_grid,0.019200000000000002,416.80476990137663
forward_euler,1,0.05,global_grid,0.0193,419.8556122369237
forward_euler,1,0.05,global_grid,0.0194,422.89529721911794
forward_euler,1,0.05,global_grid,0.0195,425.92381423777107
forward_euler,1,0.05,global_grid,0.0196,428.94115488666347
forward_euler,1,0.05,global_grid,0.019700000000000002,431.9473128878078
forward_euler,1,0.05,global_grid,0.0198,434.9422840179533
forward_euler,1,0.05,global_grid,0.0199,437.9260660372741
forward_euler,1,0.05,global_grid,0.02,440.89865862017496
forward_euler,1,0.05,local_refinement,0.005076393202250022,1.8491695500272085
forward_euler,1,0.05,local_refinement,0.00512360679774998,1.8268457631802482
forward_euler,1,0.05,local_refinement,0.005152786404500043,1.8297625134661508
forward_euler,1,0.05,local_refinement,0.005131530778970586,1.8263847492821934
forward_euler,1,0.05,local_refinement,0.0051314787991952856,1.826384720073816
forward_euler,1,0.05,local_refinement,0.005131467137504508,1.8263847190529054
forward_euler,1,0.05,local_refinement,0.0051314670610592165,1.8263847190528975
forward_euler,1,0.05,local_refinement,0.005131466984613926,1.8263847190529703
forward_euler,2,0.025,global_grid,0.0,477.651959703991
forward_euler,2,0.025,global_grid,0.0001,452.303458744924
forward_euler,2,0.025,global_grid,0.0002,427.755737814606
forward_euler,2,0.025,global_grid,0.00030000000000000003,404.0145852373134
forward_euler,2,0.025,global_grid,0.0004,381.08460081780305
forward_euler,2,0.025,global_grid,0.0005,358.9690235097253
forward_euler,2,0.025,global_grid,0.0006000000000000001,337.6695708384871
forward_euler,2,0.025,global_grid,0.0007,317.1862951475389
forward_euler,2,0.025,global_grid,0.0008,297.5174615947783
forward_euler,2,0.025,global_grid,0.0009000000000000001,278.65945240788136
forward_euler,2,0.025,global_grid,0.001,260.6067012145049
forward_euler,2,0.025,global_grid,0.0011,243.3516603201677
forward_euler,2,0.025,global_grid,0.0012000000000000001,226.88480266183802
forward_euler,2,0.025,global_grid,0.0013000000000000002,211.1946588880834
forward_euler,2,0.025,global_grid,0.0014,196.26788869070765
forward_euler,2,0.025,global_grid,0.0015,182.08938422755887
forward_euler,2,0.025,global_grid,0.0016,168.6424023176409
forward_euler,2,0.025,global_grid,0.0017000000000000001,155.90872113127605
forward_euler,2,0.025,global_grid,0.0018000000000000002,143.86881639366652
forward_euler,2,0.025,global_grid,0.0019,132.5020516995257
forward_euler,2,0.025,global_grid,0.002,121.78687740400004
forward_euler,2,0.025,global_grid,0.0021000000000000003,111.70103269217924
forward_euler,2,0.025,global_grid,0.0022,102.22174579869343
forward_euler,2,0.025,global_grid,0.0023,93.32592790023939
forward_euler,2,0.025,global_grid,0.0024000000000000002,84.99035688134475
forward_euler,2,0.025,global_grid,0.0025,77.19184792135869
forward_euler,2,0.025,global_grid,0.0026000000000000003,69.90740861759014
forward_euler,2,0.025,global_grid,0.0027,63.11437710310736
forward_euler,2,0.025,global_grid,0.0028,56.790542305359445
forward_euler,2,0.025,global_grid,0.0029000000000000002,50.9142461012092
forward_euler,2,0.025,global_grid,0.003,45.46446764241396
forward_euler,2,0.025,global_grid,0.0031000000000000003,40.42089054827859
forward_euler,2,0.025,global_grid,0.0032,35.76395399062244
forward_euler,2,0.025,global_grid,0.0033,31.474888936230485
forward_euler,2,0.025,global_grid,0.0034000000000000002,27.535740972300676
forward_euler,2,0.025,global_grid,0.0035,23.929381231253707
forward_euler,2,0.025,global_grid,0.0036000000000000003,20.639506963330405
forward_euler,2,0.025,global_grid,0.0037,17.65063328915848
forward_euler,2,0.025,global_grid,0.0038,14.948077609815291
forward_euler,2,0.025,global_grid,0.0039000000000000003,12.517938067828387
forward_euler,2,0.025,global_grid,0.004,10.34706734706088
forward_euler,2,0.025,global_grid,0.0041,8.423042979527153
forward_euler,2,0.025,global_grid,0.004200000000000001,6.734135198893993
forward_euler,2,0.025,global_grid,0.0043,5.269273248820426
forward_euler,2,0.025,global_grid,0.0044,4.018010923603853
forward_euler,2,0.025,global_grid,0.0045000000000000005,2.970491992226783
forward_euler,2,0.025,global_grid,0.0046,2.1174160375226965
forward_euler,2,0.025,global_grid,0.0047,1.450005131797172
forward_euler,2,0.025,global_grid,0.0048000000000000004,0.9599716702499446
forward_euler,2,0.025,global_grid,0.0049,0.6394875948028488
forward_euler,2,0.025,global_grid,0.005,0.4811551638293863
forward_euler,2,0.025,global_grid,0.0051,0.47797935778638023
forward_euler,2,0.025,global_grid,0.005200000000000001,0.6233419565037096
forward_euler,2,0.025,global_grid,0.0053,0.9109772802667513
forward_euler,2,0.025,global_grid,0.0054,1.3349495529868374
forward_euler,2,0.025,global_grid,0.0055000000000000005,1.889631820715483
forward_euler,2,0.025,global_grid,0.0056,2.569686341441082
forward_euler,2,0.025,global_grid,0.0057,3.3700463513985714
forward_euler,2,0.025,global_grid,0.0058000000000000005,4.285899107912051
forward_euler,2,0.025,global_grid,0.0059,5.312670108005995
forward_euler,2,0.025,global_grid,0.006,6.4460083846652285
forward_euler,2,0.025,global_grid,0.0061,7.681772787783149
forward_euler,2,0.025,global_grid,0.006200000000000001,9.016019163715818
forward_euler,2,0.025,global_grid,0.0063,10.444988355261565
forward_euler,2,0.025,global_grid,0.0064,11.965094952245897
forward_euler,2,0.025,global_grid,0.006500000000000001,13.572916731247803
forward_euler,2,0.025,global_grid,0.0066,15.2651847310073
forward_euler,2,0.025,global_grid,0.0067,17.038773917455888
forward_euler,2,0.025,global_grid,0.0068000000000000005,18.89069439893987
forward_euler,2,0.025,global_grid,0.006900000000000001,20.81808315797206
forward_euler,2,0.025,global_grid,0.007,22.818196270721895
forward_euler,2,0.025,global_grid,0.0071,24.88840158944817
forward_euler,2,0.025,global_grid,0.007200000000000001,27.02617186624687
forward_euler,2,0.025,global_grid,0.0073,29.229078298910217
forward_euler,2,0.025,global_grid,0.0074,31.494784481459305
forward_euler,2,0.025,global_grid,0.007500000000000001,33.821040743129146
forward_euler,2,0.025,global_grid,0.0076,36.205678860348
forward_euler,2,0.025,global_grid,0.0077,38.64660712666709
forward_euler,2,0.025,global_grid,0.0078000000000000005,41.141805765750256
forward_euler,2,0.025,global_grid,0.0079,43.68932267250999
forward_euler,2,0.025,global_grid,0.008,46.287269467346555
forward_euler,2,0.025,global_grid,0.0081,48.93381784826893
forward_euler,2,0.025,global_grid,0.0082,51.627196225503376
forward_euler,2,0.025,global_grid,0.0083,54.36568662305388
forward_euler,2,0.025,global_grid,0.008400000000000001,57.1476218316112
forward_euler,2,0.025,global_grid,0.0085,59.9713827972081
forward_euler,2,0.025,global_grid,0.0086,62.83539623012853
forward_euler,2,0.025,global_grid,0.008700000000000001,65.7381324187722
forward_euler,2,0.025,global_grid,0.0088,68.67810323346755
forward_euler,2,0.025,global_grid,0.0089,71.65386030561555
forward_euler,2,0.025,global_grid,0.009000000000000001,74.6639933680016
forward_euler,2,0.025,global_grid,0.0091,77.70712874265763
forward_euler,2,0.025,global_grid,0.0092,80.78192796324689
forward_euler,2,0.025,global_grid,0.009300000000000001,83.88708651958629
forward_euler,2,0.025,global_grid,0.0094,87.02133271260729
forward_euler,2,0.025,global_grid,0.0095,90.18342660875271
forward_euler,2,0.025,global_grid,0.009600000000000001,93.37215908353373
forward_euler,2,0.025,global_grid,0.0097,96.58635094468494
forward_euler,2,0.025,global_grid,0.0098,99.82485212608385
forward_euler,2,0.025,global_grid,0.0099,103.08654094429845
forward_euler,2,0.025,global_grid,0.01,106.37032341031943
forward_euler,2,0.025,global_grid,0.010100000000000001,109.67513258969495
forward_euler,2,0.025,global_grid,0.0102,112.99992800492221
forward_euler,2,0.025,global_grid,0.0103,116.34369507455527
forward_euler,2,0.025,global_grid,0.010400000000000001,119.70544458405634
forward_euler,2,0.025,global_grid,0.0105,123.08421218395449
forward_euler,2,0.025,global_grid,0.0106,126.47905791137667
forward_euler,2,0.025,global_grid,0.010700000000000001,129.88906573147312
forward_euler,2,0.025,global_grid,0.0108,133.31334309569152
forward_euler,2,0.025,global_grid,0.0109,136.75102051424216
forward_euler,2,0.025,global_grid,0.011000000000000001,140.20125114045393
forward_euler,2,0.025,global_grid,0.0111,143.66321036504542
forward_euler,2,0.025,global_grid,0.0112,147.1360954186272
forward_euler,2,0.025,global_grid,0.011300000000000001,150.61912498101674
forward_euler,2,0.025,global_grid,0.0114,154.1115387961782
forward_euler,2,0.025,global_grid,0.0115,157.61259729181393
forward_euler,2,0.025,global_grid,0.011600000000000001,161.12158120281435
forward_euler,2,0.025,global_grid,0.0117,164.63779119794077
forward_euler,2,0.025,global_grid,0.0118,168.16054750925133
forward_euler,2,0.025,global_grid,0.0119,171.68918956391323
forward_euler,2,0.025,global_grid,0.012,175.22307561814068
forward_euler,2,0.025,global_grid,0.012100000000000001,178.76158239309825
forward_euler,2,0.025,global_grid,0.0122,182.30410471267868
forward_euler,2,0.025,global_grid,0.0123,185.85005514313835
forward_euler,2,0.025,global_grid,0.012400000000000001,189.39886363461824
forward_euler,2,0.025,global_grid,0.0125,192.94997716462754
forward_euler,2,0.025,global_grid,0.0126,196.50285938360344
forward_euler,2,0.025,global_grid,0.012700000000000001,200.05699026268306
forward_euler,2,0.025,global_grid,0.0128,203.611865743848
forward_euler,2,0.025,global_grid,0.0129,207.1669973926221
forward_euler,2,0.025,global_grid,0.013000000000000001,210.72191205349816
forward_euler,2,0.025,global_grid,0.0131,214.27615150829314
forward_euler,2,0.025,global_grid,0.0132,217.82927213762068
forward_euler,2,0.025,global_grid,0.013300000000000001,221.38084458567468
forward_euler,2,0.025,global_grid,0.0134,224.9304534285118
forward_euler,2,0.025,global_grid,0.0135,228.47769684601616
forward_euler,2,0.025,global_grid,0.013600000000000001,232.0221862977214
forward_euler,2,0.025,global_grid,0.0137,235.56354620265606
forward_euler,2,0.025,global_grid,0.013800000000000002,239.1014136233704
forward_euler,2,0.025,global_grid,0.013900000000000001,242.63543795428743
forward_euler,2,0.025,global_grid,0.014,246.1652806145154
forward_euler,2,0.025,global_grid,0.014100000000000001,249.69061474524247
forward_euler,2,0.025,global_grid,0.0142,253.21112491182726
forward_euler,2,0.025,global_grid,0.0143,256.7265068106767
forward_euler,2,0.025,global_grid,0.014400000000000001,260.23646698100794
forward_euler,2,0.025,global_grid,0.0145,263.740722521564
forward_euler,2,0.025,global_grid,0.0146,267.239000812343
forward_euler,2,0.025,global_grid,0.014700000000000001,270.73103924140344
forward_euler,2,0.025,global_grid,0.0148,274.21658493677785
forward_euler,2,0.025,global_grid,0.0149,277.6953945035314
forward_euler,2,0.025,global_grid,0.015000000000000001,281.16723376598657
forward_euler,2,0.025,global_grid,0.0151,284.63187751512277
forward_euler,2,0.025,global_grid,0.0152,288.0891092611594
forward_euler,2,0.025,global_grid,0.015300000000000001,291.53872099131434
forward_euler,2,0.025,global_grid,0.0154,294.9805129327224
