training_config,regularization_profile,parameter,true_value,learned_mean,learned_std,learned_min,learned_max,abs_error_mean,abs_error_std,relative_error_mean,relative_error_std,n_runs
forward_euler_ratio4,l2_small,r,1.5,1.4794242885323845,0.030434625697679022,1.4615845424724172,1.5145657945539408,0.030286241170242773,0.013616963267282177,0.020190827446815055,0.009077975511515398,3
forward_euler_ratio4,l2_small,z,0.03,0.029713505372969223,8.511764562359387e-05,0.029629420093833778,0.029799619125196367,0.0002864946270307786,8.511764562359387e-05,0.009549820900707625,0.002837254854025221,3
forward_euler_ratio4,ortho_small,a,1.0,0.9027620064960932,0.034359483926065595,0.8718068937112324,0.9397316516660941,0.09723799350390687,0.034359483926065595,0.09723799350380963,0.034359483926031234,3
forward_euler_ratio4,ortho_small,b,0.05,0.05058313910347167,0.0004927963303999937,0.05015269236037098,0.051120674318228566,0.0005831391034716605,0.0004927963303999937,0.011662782069199955,0.009855926607802755,3
forward_euler_ratio4,ortho_small,r,1.5,1.482063362594938,0.04282063306889327,1.4477424685435394,1.5300485365465208,0.0379689951027428,0.012398555353493908,0.025312663401811656,0.008265703568990429,3
forward_euler_ratio4,ortho_small,z,0.03,0.029774615028880902,0.00011820220733487697,0.029680001554965516,0.029907115543393557,0.00022538497111909464,0.00011820220733487697,0.007512832370386062,0.003940073577697897,3
forward_euler_ratio4,l2_plus_ortho,a,1.0,0.9027395143661691,0.03349993833965126,0.8721572518971402,0.9385438068750217,0.0972604856338309,0.03349993833965126,0.09726048563373364,0.03349993833961776,3
forward_euler_ratio4,l2_plus_ortho,b,0.05,0.050547005586060394,0.0005147387088082492,0.05007404537925631,0.051095234659677996,0.0005470055860603886,0.0005147387088082492,0.01094011172098897,0.010294774175959089,3
forward_euler_ratio4,l2_plus_ortho,r,1.5,1.4843146227927269,0.04690914445468509,1.4469627946164758,1.5369625626136427,0.04032708561636844,0.01140629954048724,0.026884723744227706,0.0076041996936530905,3
forward_euler_ratio4,l2_plus_ortho,z,0.03,0.029791528325667057,0.000141238698979425,0.02968386897921881,0.02995144979372543,0.00020847167433294309,0.000141238698979425,0.0069490558108664694,0.004707956632490569,3
forward_euler_ratio8,none,a,1.0,0.9227482241794848,0.014978401197097318,0.9099354240554358,0.9392157681703618,0.07725177582051508,0.01497840119709732,0.07725177582043784,0.014978401197082344,3
forward_euler_ratio8,none,b,0.05,0.05015565639915696,0.0001719184821162501,0.049963970888479994,0.0502962033292506,0.00017967580683695786,0.00013219017757439613,0.003593516136667287,0.002643803551435046,3
forward_euler_ratio8,none,r,1.5,1.496300701528089,0.009873342836563164,1.4885271710952082,1.5074097978934813,0.008639163734231792,0.0024611760409280637,0.00575944248948402,0.001640784027284282,3
forward_euler_ratio8,none,z,0.03,0.029848952138004328,5.062299456831699e-05,0.029791799451433697,0.029888152293806022,0.0001510478619956695,5.062299456831699e-05,0.005034928733021153,0.001687433152220985,3
forward_euler_ratio8,l2_small,a,1.0,0.9222869245896111,0.014305335231252951,0.9101195176963963,0.9380457648931182,0.0777130754103889,0.014305335231252951,0.07771307541031118,0.014305335231238645,3
forward_euler_ratio8,l2_small,b,0.05,0.05010608229657773,0.0002419257253776104,0.04983314445234867,0.05029409495245474,0.00021731932834528436,6.757737314828286e-05,0.004346386566818759,0.0013515474629386258,3
forward_euler_ratio8,l2_small,r,1.5,1.4958577685327412,0.009929131902722394,1.488719926343132,1.5071968934214521,0.008940160414893539,0.0021059630262990877,0.005960106943258385,0.0014039753508651221,3
forward_euler_ratio8,l2_small,z,0.03,0.029847565089952812,4.890061027938282e-05,0.029791433092298772,0.029880938518969783,0.00015243491004718682,4.890061027938282e-05,0.005081163668070189,0.00163002034259176,3
forward_euler_ratio8,ortho_small,a,1.0,0.8974870108538048,0.025366909336430578,0.8692788437745606,0.9184251687129504,0.10251298914619526,0.025366909336430578,0.10251298914609273,0.025366909336405213,3
forward_euler_ratio8,ortho_small,b,0.05,0.05042156530077254,0.00027911029253812074,0.0501288847423742,0.050684764997446057,0.0004215653007725306,0.00027911029253812074,0.008431306015281987,0.005582205850650771,3
forward_euler_ratio8,ortho_small,r,1.5,1.4867054955469536,0.0019167064109109806,1.4845227314318505,1.4881137672998108,0.013294504453046363,0.0019167064109109806,0.008863002968691665,0.0012778042739398018,3
forward_euler_ratio8,ortho_small,z,0.03,0.029795727797835365,1.7114286866896278e-05,0.029784851823993017,0.02981545507129219,0.00020427220216463182,1.7114286866896278e-05,0.006809073405260759,0.0005704762288775267,3
forward_euler_ratio8,l2_plus_ortho,a,1.0,0.8974242543404257,0.025160727076912404,0.8694437490259124,0.9181880347932435,0.10257574565957421,0.025160727076912404,0.10257574565947163,0.025160727076887244,3
forward_euler_ratio8,l2_plus_ortho,b,0.05,0.050436255821277726,0.000309317599432424,0.05012464572584861,0.05074322878436665,0.0004362558212777229,0.000309317599432424,0.008725116425379957,0.006186351988524752,3
forward_euler_ratio8,l2_plus_ortho,r,1.5,1.4866647234130745,0.0020352854152599414,1.4843648401519884,1.4882333408855313,0.013335276586925607,0.0020352854152599414,0.008890184391277811,0.0013568569435057228,3
forward_euler_ratio8,l2_plus_ortho,z,0.03,0.029796647551702762,1.7362547822460935e-05,0.02978478961716131,0.029816576522837604,0.00020335244829723537,1.7362547822460935e-05,0.006778414943015233,0.0005787515940627392,3
forward_euler_ratio16,none,a,1.0,0.9251161361113378,0.019095911572724607,0.9030683078090823,0.9364116918627685,0.07488386388866224,0.019095911572724607,0.07488386388858734,0.01909591157270551,3
forward_euler_ratio16,none,b,0.05,0.04999771711876364,0.00012022233149736295,0.04989477776576072,0.05012984673695345,8.884737253865109e-05,5.1190261771532256e-05,0.0017769474507374824,0.0010238052354101688,3
forward_euler_ratio16,none,r,1.5,1.495021785655173,0.001091959628550782,1.4937850191993327,1.4958527303581208,0.004978214344826999,0.0010919596285507822,0.0033188095632157868,0.0007279730857000359,3
forward_euler_ratio16,none,z,0.03,0.02988264378576409,4.927138461052853e-05,0.029838167043739476,0.029935607291529488,0.00011735621423590928,4.927138461052853e-05,0.003911873807733247,0.001642379486962872,3
forward_euler_ratio16,l2_small,a,1.0,0.9248480301726908,0.018830247960098242,0.9031078446109769,0.9360366932683467,0.07515196982730925,0.01883024796009824,0.0751519698272341,0.01883024796007941,3
forward_euler_ratio16,l2_small,b,0.05,0.05001438744937866,0.00015314200300513167,0.049881130443421906,0.05018168571374051,0.00010673635978167978,8.169452481465696e-05,0.002134727195590901,0.0016338904962604614,3
forward_euler_ratio16,l2_small,r,1.5,1.4949466058652234,0.001075155202895254,1.4939042115866634,1.4960517716135329,0.005053394134776494,0.0010751552028952541,0.003368929423182083,0.0007167701352630247,3
forward_euler_ratio16,l2_small,z,0.03,0.02988544653417528,6.131179019990193e-05,0.02982922813981895,0.02995082173086391,0.0001145534658247178,6.131179019990193e-05,0.003818448860696645,0.0020437263399286066,3
