training_config,training_method,ratio,regularization_profile,l2_weight,ortho_weight,n_runs,seeds,best_loss_mean,best_loss_std,best_loss_min,best_loss_max,best_loss_median,best_loss_range,validation_mse_mean,validation_mse_std,validation_mse_min,validation_mse_max,validation_mse_median,validation_mse_range,extrapolate_mse_mean,extrapolate_mse_std,extrapolate_mse_min,extrapolate_mse_max,extrapolate_mse_median,extrapolate_mse_range,final_mse_mean,final_mse_std,final_mse_min,final_mse_max,final_mse_median,final_mse_range,residual_mse_mean,residual_mse_std,residual_mse_min,residual_mse_max,residual_mse_median,residual_mse_range,model_vf_rel_error_mean,model_vf_rel_error_std,model_vf_rel_error_min,model_vf_rel_error_max,model_vf_rel_error_median,model_vf_rel_error_range
forward_euler_ratio4,forward_euler,4,l2_plus_ortho,1e-05,0.001,3,0;1;2,0.003993713359091455,0.000829410441503912,0.0034310462148865934,0.004946221978480339,0.003603871883907431,0.0015151757635937456,0.4073780778680543,0.009960997842650456,0.3985943778753373,0.4182008250685162,0.4053390306603095,0.01960644719317889,32.052600257660856,1.7771906503550274,30.104299940131593,33.584873173752094,32.468627659098885,3.4805732336205004,33.77173390876701,1.7770058291371904,31.72046520160268,34.84177811535301,34.752958409345354,3.12131291375033,0.03989090183937347,0.002797145552856673,0.037729478455137716,0.043050125008348046,0.03889310205463466,0.00532064655321033,0.007206297607466237,0.000250840203016878,0.007011178076196417,0.0074892409857462055,0.007118473760456091,0.00047806290954978837
forward_euler_ratio8,forward_euler,8,none,0.0,0.0,3,0;1;2,0.0028649030194582655,0.0007428089972921563,0.0022039932846162884,0.003668817439799574,0.002721898333958934,0.0014648241551832855,0.10368257363838797,0.005416212787688265,0.09968965942482318,0.10984770415812227,0.10151035733221846,0.010158044733299093,5.721857120459855,1.481938187534066,4.820465522272551,7.432219812708104,4.912886026398909,2.6117542904355533,6.652582879046989,1.6549376619513159,5.576274658595566,8.55821244641495,5.8232615321304495,2.9819377878193842,0.013780076253394198,0.003556312247703609,0.011575612924010919,0.017882743365686734,0.011881872470484943,0.006307130441675815,0.004214972734380326,0.0005305525422109417,0.0038834936102982425,0.004826892969209673,0.003934531623633064,0.0009433993589114302
forward_euler_ratio8,forward_euler,8,l2_small,1e-05,0.0,3,0;1;2,0.0030908491668784972,0.000680411739405322,0.0024228669131413313,0.0037830440299639685,0.0030666365575301923,0.0013601771168226372,0.10386760377493931,0.0036635257503282678,0.09965108214361315,0.10627104237218031,0.10568068680902445,0.006619960228567159,5.464671741481144,1.5142704098545015,4.4372962144598285,7.20367151383656,4.753047496147045,2.7663752993767314,6.377197739264962,1.7364784765289962,5.249962369124064,8.3769083233764,5.504722525294426,3.126945954252336,0.013387682269205517,0.003939847400202432,0.011013136842406367,0.017935542438531852,0.011214367526678332,0.006922405596125485,0.004148132056629977,0.0005942404138842225,0.003787966370443234,0.004834013454845363,0.0038224163446013365,0.0010460470844021286
forward_euler_ratio8,forward_euler,8,ortho_small,0.0,0.001,3,0;1;2,0.002098653481471374,0.0014199993282556598,0.0010778785295153688,0.0037203068866224686,0.0014977750282762837,0.0026424283571070996,0.10392465174130001,0.0046818485418767455,0.1007076724394192,0.10929585170497064,0.10177043107951025,0.008588179265551443,6.105678731804114,1.2255257865815132,4.720530241832752,7.049123858168602,6.5473820954109865,2.3285936163358496,6.949385072048101,1.2947595155440996,5.50225235279705,7.998155018287896,7.347747845059358,2.4959026654908465,0.017859109098513345,0.0015611224128634288,0.01606140513831518,0.018873280381248223,0.018642641775976635,0.0028118752429330436,0.004820547321487581,0.00021363592412670896,0.004574486659756436,0.004958773741942135,0.004928381562764171,0.00038428708218569887
forward_euler_ratio8,forward_euler,8,l2_plus_ortho,1e-05,0.001,3,0;1;2,0.00208892060867673,0.0014829487121791227,0.0010523062821090432,0.003787570915465751,0.0014268846284553956,0.0027352646333567076,0.10366568377529155,0.004295360440293101,0.10067397394409161,0.10858752402747152,0.10173555335431152,0.007913550083379906,6.131391371079708,1.259680243963422,4.69786998495758,7.0615920877530645,6.6347120405284805,2.3637221027954842,6.987574736312378,1.3302270990814176,5.4881169841372355,8.025789265790143,7.448817959009751,2.537672281652908,0.01812171512579835,0.002057766933283779,0.01579725325717233,0.01971063390584152,0.018857258214381206,0.003913380648669192,0.0048536551893123645,0.00028002568249484844,0.00453671384946648,0.005067583258914947,0.004956668459555666,0.0005308694094484671
forward_euler_ratio16,forward_euler,16,none,0.0,0.0,3,0;1;2,0.001433999567139745,0.0005561346082719368,0.0010126710265994567,0.002064363013263766,0.0012249646615560116,0.0010516919866643093,0.025093890633546584,0.00011868606073440975,0.02498890817827006,0.025222673368416885,0.0250700903539528,0.00023376519014682573,0.6692592951128429,0.03447916281387826,0.629447276056235,0.6894202993923498,0.6889103098899438,0.05997302333611487,1.0085267709613412,0.028436640803776433,0.9785557072480594,1.0351288446925593,1.011895760943405,0.05657313744449988,0.00486863330513894,0.0022827554785505707,0.0031263093667288308,0.0074527468338123175,0.004026843714875671,0.004326437467083487,0.0024749355013199046,0.0005716976579757879,0.0020182110181725275,0.0031160813084643675,0.002290514177322818,0.00109787029029184
forward_euler_ratio16,forward_euler,16,l2_small,1e-05,0.0,3,0;1;2,0.0014665886872055843,0.0005681927524146149,0.0010410186487166395,0.0021118209409791773,0.0012469264719209355,0.0010708022922625378,0.02586282128382006,0.0012915768282257786,0.024374859605105496,0.02669425631242784,0.026519347933926848,0.0023193967073223444,0.670252393313163,0.049289116393818104,0.6162017746835255,0.7127151559217886,0.6818402493341746,0.09651338123826303,1.0065143294984054,0.04191945911204441,0.9628156778892448,1.0463931294467945,1.0103341811591762,0.0835774515575497,0.005022133711175318,0.002231454664302686,0.0028887146810701453,0.0073401554775573,0.004837530974898509,0.004451440796487155,0.0025143240588811166,0.0005762337137783664,0.0019400053215256896,0.003092453845018508,0.002510513010099151,0.0011524485234928185
forward_euler_ratio16,forward_euler,16,ortho_small,0.0,0.001,3,0;1;2,0.0015549181381105017,0.0008277250694180192,0.0006732509476332704,0.0023153233442128702,0.001676180122485364,0.0016420723965796,0.025604199734667894,0.0024475158675302897,0.023331152921200488,0.02819512252246988,0.025286323760333324,0.004863969601269391,0.9544107905125414,0.2442125382149334,0.7537784982608106,1.2263363078881797,0.8831175653886341,0.47255780962736915,1.2576131400222756,0.2292926791046229,1.0735604931586786,1.514468465992625,1.1848104609155234,0.44090797283394645,0.006038063434989745,0.0013064318679870887,0.004541939920293221,0.006953382620487922,0.006618867764188093,0.0024114427001947006,0.0027930212746542383,0.00031427501027935694,0.0024326032885057707,0.0030098763934664294,0.0029365841419905147,0.0005772731049606588
forward_euler_ratio16,forward_euler,16,l2_plus_ortho,1e-05,0.001,3,0;1;2,0.0015672143228631097,0.0008085601670399618,0.0007159116641689829,0.0023248782742577756,0.0016608530301625705,0.0016089666100887927,0.024926892972726062,0.0017166195996853424,0.023274451560341098,0.02670119642003361,0.024805030937803483,0.0034267448596925106,0.9316287063558238,0.24712901954507427,0.7127873563061284,1.1996498225295842,0.8824489402317589,0.48686246622345575,1.2350458820795571,0.23066556627411883,1.0351250747355734,1.487421365575552,1.1825912059275459,0.4522962908399786,0.006159449444259006,0.0011944235116574339,0.0047805835561200456,0.006875229534191757,0.006822535242465219,0.0020946459780717113,0.0028233427919989347,0.0002838117442660122,0.0024956923832125167,0.0029929137252306865,0.0029814222675536017,0.0004972213420181698
heun_ratio1,heun,1,none,0.0,0.0,3,0;1;2,0.0016087640169439503,0.0012322388020105158,0.0006125642234592395,0.0029866945472607886,0.0012270332801118228,0.0023741303238015493,0.001497813285652979,0.0006769511104246632,0.000758506673414043,0.002087312232461602,0.0016476209510832922,0.001328805559047559,0.3220147024065387,0.23798331967926073,0.14045034788970198,0.591435759313886,0.23415800001602805,0.450985411424184,0.3517993009234728,0.27514170096478474,0.149190552070305,0.6650358031077671,0.24117154759234616,0.5158452510374621,0.002730781441703741,0.0016671337582164826,0.0013854522982762521,0.004595881374210056,0.002211010652624915,0.0032104290759338034,0.0018292611830858588,0.000563459368590916,0.001343526959898288,0.002447005819174177,0.0016972507701851114,0.0011034788592758891
heun_ratio1,heun,1,l2_small,1e-05,0.0,3,0;1;2,0.0019018611901600094,0.0017519998699650563,0.0005887554567443071,0.0038912000652017876,0.0012256280485339328,0.0033024446084574804,0.0017696782782157102,0.0009200528629458506,0.0009189988703529007,0.0027461583266996537,0.0016438776375945765,0.001827159456346753,0.3280709044995969,0.2160904600847978,0.1774974719239632,0.5756678584155156,0.2310473831593121,0.3981703864915524,0.3604257538715007,0.2507047659977816,0.19211505500447634,0.6485578450653734,0.24060436154465228,0.45644279006089705,0.0025627283148275154,0.001861171006901468,0.0011289869400521893,0.00466605014438487,0.0018931478600454877,0.003537063204332681,0.0017496497951965874,0.000645323497257951,0.0012128163860497072,0.002465615194585504,0.001570517804954551,0.0012527988085357968
heun_ratio1,heun,1,ortho_small,0.0,0.001,3,0;1;2,0.00204210679022448,0.0015893430183919592,0.000530917108351371,0.003699500133688873,0.001895903128633196,0.003168583025337502,0.0015606843073103659,0.0011813010705098467,0.0006590876579328555,0.0028979446055553163,0.001125020658442925,0.002238856947622461,0.19769933431673173,0.12830206761698557,0.05084572411955244,0.2880652490092382,0.25418702982140456,0.23721952488968576,0.21201710250043213,0.14058331275274694,0.05331898623939995,0.320944002775645,0.2617883184862514,0.26762501653624504,0.002667453558696223,0.00041909999210802207,0.00221163414473505,0.0030361336452920315,0.002754592886061588,0.0008244995005569815,0.0018602715235417353,0.00014867391279327276,0.0016974900607263502,0.001988891259470212,0.0018944332504286438,0.0002914011987438616
heun_ratio1,heun,1,l2_plus_ortho,1e-05,0.001,3,0;1;2,0.0012593954185612362,0.0005901180079512903,0.0005919044155056332,0.001711804663238611,0.0014744771769394642,0.0011199002477329779,0.0009875695799643847,0.0003183240368986301,0.0006638800245023579,0.0013002420614869662,0.0009985866539038298,0.0006363620369846083,0.17821334440674033,0.11626991691765559,0.04795555102735663,0.27150913705585356,0.21517534513701084,0.22355358602849693,0.18541828769358468,0.120761367623324,0.04931365323899015,0.2797375855285101,0.2272036243132537,0.23042393228951993,0.002834811256962527,0.0003344259108838504,0.0025646049993212285,0.003208833040599216,0.002730995730967135,0.0006442280412779877,0.0019196370867937448,0.0001121489900143909,0.0018279353817311037,0.002044674389729798,0.0018863014889203317,0.00021673900799869445
heun_ratio2,heun,2,none,0.0,0.0,3,0;1;2,0.0008263502820893802,0.00033893227109423616,0.0005098096913035228,0.0011839359687038653,0.0007853051862607522,0.0006741262774003424,0.0007082052010809699,0.000285293137123224,0.0003922685435892227,0.0009469831544350393,0.0007853639052186474,0.0005547146108458166,0.6355755876463745,0.2450500924282205,0.35306790995350984,0.7906716384734774,0.762987214512136,0.4376037285199676,0.6554876804578244,0.2670782945971536,0.349657831244648,0.8427812749428171,0.7740239351860082,0.4931234436981691,0.001973635054643718,0.001300202874703233,0.000505975933372313,0.0029813442297055167,0.0024335850008533246,0.0024753682963332036,0.001521139661665381,0.0006215199310303304,0.000811924276573924,0.0019708640080112146,0.001780630700411004,0.0011589397314372906
heun_ratio2,heun,2,l2_small,1e-05,0.0,3,0;1;2,0.0008642789917904341,0.00042642960477549214,0.0004883075291884276,0.0013276304840543127,0.0007768989621285618,0.0008393229548658851,0.0007684383800703936,0.000401534312424127,0.0003628743916829223,0.0011658178884988997,0.000776622860029359,0.0008029434968159773,0.6204692045073676,0.22412438250918504,0.36550368891543755,0.7863730272199826,0.7095308973866828,0.42086933830454504,0.6427022900666235,0.24941770562618598,0.3620625851915094,0.8390597095064819,0.7269845755018792,0.4769971243149725,0.0021395694734095256,0.001547078592811105,0.0005164095248682889,0.003597265542838821,0.002305033352521466,0.003080856017970532,0.0015727034971937833,0.0006864968617454016,0.0008202527949829861,0.0021648950418183153,0.0017329626547800477,0.0013446422468353291
heun_ratio2,heun,2,ortho_small,0.0,0.001,3,0;1;2,0.001068148455411478,0.0007947127637081876,0.0005274459071515557,0.001980604816368841,0.0006963946427140368,0.0014531589092172852,0.0009247683769398803,0.0006859545094207925,0.0004126929761543971,0.0017041297600830876,0.0006574823945821563,0.0012914367839286906,0.44779711136801165,0.1355583031659771,0.29293084632988076,0.5449376922783201,0.5055227954958341,0.25200684594843936,0.45047255481980075,0.1490388685349408,0.2792702797696326,0.5512368086937854,0.5209105759959842,0.27196652892415285,0.0023726104982364957,0.0012379413654758818,0.0011431600094617613,0.0036188715263249654,0.0023557999589227598,0.0024757115168632044,0.001714578136838332,0.0004765904430805,0.0012204053662117223,0.0021713867313095667,0.0017519423129937063,0.0009509813650978444
heun_ratio2,heun,2,l2_plus_ortho,1e-05,0.001,3,0;1;2,0.0011125095480916832,0.0008542292551514388,0.0005177938202972237,0.00209136761205639,0.0007283672119214353,0.0015735737917591665,0.0009189965653934582,0.0007185470326447408,0.0004029560664707308,0.001739677006023745,0.0006143566236858989,0.0013367209395530144,0.4912800400837738,0.2111006671587574,0.2477332912255752,0.6218413332268591,0.6042654957988871,0.3741080420012839,0.48988377394219573,0.22009018368594144,0.2361241764462376,0.6287735253931807,0.6047536199871689,0.39264934894694303,0.002263830168370983,0.0007761911256500696,0.0014019555469550339,0.0029077270204412972,0.0024818079377166174,0.0015057714734862634,0.0016986901641630563,0.0003096664728517176,0.0013515051923736188,0.0019463790125265168,0.0017981862875890333,0.000594873820152898
heun_ratio4,heun,4,none,0.0,0.0,3,0;1;2,0.0009934822592403301,0.0005915456190955192,0.0005516936396880485,0.0016655343365398374,0.0007632188014931045,0.001113840696851789,0.0009419205500364522,0.000566324972828612,0.0005011486386936491,0.0015806533312936793,0.0007439596801220279,0.0010795046926000303,0.7878480716244748,0.23812094730242242,0.5220125853332367,0.9815951351298409,0.859936494410347,0.4595825497966042,0.80648165662623,0.26442176273997847,0.5171990004170339,1.0357133341977236,0.8665326352639323,0.5185143337806897,0.0017156540817704704,0.0010461908265475296,0.0008473640815288619,0.0028771707902787566,0.001422427373503793,0.0020298067087498946,0.001449392926806287,0.0004492242347662172,0.0010507166696453211,0.0019361251134036085,0.001361336997369931,0.0008854084437582873
heun_ratio4,heun,4,l2_small,1e-05,0.0,3,0;1;2,0.0013818324786731137,0.0013137077841597505,0.0005488518684296383,0.00289624610506129,0.0007003994625284125,0.002347394236631652,0.0013319154416470294,0.0012714767505988985,0.0005148118369353748,0.0027968333745129886,0.0006841011134927249,0.002282021537577614,0.7277756294281857,0.2308187293935721,0.4644648296865248,0.895178097618226,0.8236839609798066,0.43071326793170117,0.7470716900041262,0.2502267320015002,0.4639003018707397,0.9383956099650835,0.8389191581765553,0.4744953080943438,0.0017025134437570761,0.0011493889579241333,0.0005133500643206406,0.002807499697868494,0.0017866905690820936,0.0022941496335478536,0.0014186935321137926,0.0005551525640408737,0.0008178193977318286,0.0019125396873389219,0.001525721511270627,0.0010947202896070933
heun_ratio4,heun,4,ortho_small,0.0,0.001,3,0;1;2,0.0009790145971252495,0.000768689985968507,0.00036642091371223923,0.0018415766892385403,0.0007290461884249692,0.001475155775526301,0.0009277833722913677,0.0007387019648043172,0.0003374420950225826,0.0017561551690924069,0.0006897528527591136,0.0014187130740698243,0.6431269239078258,0.2883388459354805,0.31588823734834737,0.859900962083927,0.7535915722912029,0.5440127247355796,0.648827943798656,0.3034488962200655,0.3046263910646578,0.8777195727636268,0.7641378675676836,0.5730931816989691,0.001725191759350008,0.0003702781766804066,0.0013389253754690614,0.00207708463961979,0.0017595652629611724,0.0007381592641507288,0.0014933050182591278,0.00016313159372310666,0.001320774827416899,0.0016450446645118347,0.00151409556284865,0.00032426983709493576
