training_config,regularization_profile,seed,vf_error_mse,vf_error_mean_norm,vf_error_max_norm
heun_ratio1,l2_small,2,0.0037634519745892033,0.05246039166516917,0.1373866235557752
heun_ratio1,ortho_small,0,0.005963653249259392,0.06499898290571687,0.23908307167370166
heun_ratio1,ortho_small,1,0.005441698543496322,0.06020169794162366,0.21311361582765362
heun_ratio1,ortho_small,2,0.004377290486414452,0.054398947142721255,0.17618837609939902
heun_ratio1,l2_plus_ortho,0,0.0053964953192727145,0.061935244599480535,0.19515291965131473
heun_ratio1,l2_plus_ortho,1,0.005064625445178613,0.0571005806109105,0.21077219494778796
heun_ratio1,l2_plus_ortho,2,0.006338196262306781,0.06269101740016217,0.23075756188282603
heun_ratio2,none,0,0.005881243047847901,0.0644978782547943,0.1810362207862724
heun_ratio2,none,1,0.0010012591330189472,0.029392400122544585,0.06273897208194563
heun_ratio2,none,2,0.004799503765197868,0.057103783888977896,0.17411368772001148
heun_ratio2,l2_small,0,0.0070941191461823296,0.07101480983163527,0.197912955199397
heun_ratio2,l2_small,1,0.001021506862427808,0.02973228494402683,0.06317099096067062
heun_ratio2,l2_small,2,0.004549445367693234,0.0560565561158506,0.16995432239108088
heun_ratio2,ortho_small,0,0.002258653983507086,0.041760037614730544,0.1217338759444331
heun_ratio2,ortho_small,1,0.004644280327064125,0.0587234419948082,0.17551124523446854
heun_ratio2,ortho_small,2,0.007113980858491856,0.0661729726700395,0.22084942220911802
heun_ratio2,l2_plus_ortho,0,0.0027692568461108557,0.046041612358969586,0.12536989603431975
heun_ratio2,l2_plus_ortho,1,0.0048922356695655375,0.06019286166852943,0.17641487653892401
heun_ratio2,l2_plus_ortho,2,0.005721618561161615,0.0616264889364938,0.19263247349861412
heun_ratio4,none,0,0.005669902986382904,0.06416802399367122,0.1897506161983405
heun_ratio4,none,1,0.001678781952734881,0.03532154831237993,0.09295032663798546
heun_ratio4,none,2,0.0028096673810496992,0.04562115490277819,0.12893302248192898
heun_ratio4,l2_small,0,0.00552438621267116,0.06411606987242652,0.20240658036660672
heun_ratio4,l2_small,1,0.0010179264674307223,0.028646815224908872,0.06377831452124792
heun_ratio4,l2_small,2,0.0035289977083106613,0.05038190647919849,0.1511915489974642
heun_ratio4,ortho_small,0,0.0026413773969393714,0.04477201614581099,0.12254019987111299
heun_ratio4,ortho_small,1,0.004094638140557882,0.05509671018731475,0.16136744644681023
heun_ratio4,ortho_small,2,0.0034666566684404218,0.04904116448929366,0.14931112872664512
heun_ratio4,l2_plus_ortho,0,0.002422267269105362,0.043237594454918475,0.11427714366584221
heun_ratio4,l2_plus_ortho,1,0.004729228700631312,0.05932607538945505,0.1915828756865638
heun_ratio4,l2_plus_ortho,2,0.0051104005147207775,0.05779179393422694,0.18205621738127442
